,ts_code,symbol,name,area,industry,abbreviation,list_date
3826,603100.SH,603100,川仪股份,重庆,电器仪表,cygf,20140805
3827,603101.SH,603101,汇嘉时代,新疆,百货,hjsd,20160506
3828,603102.SH,603102,百合股份,山东,医疗保健,bhgf,20220125
3829,603103.SH,603103,横店影视,浙江,影视音像,hdys,20171012
3830,603105.SH,603105,芯能科技,浙江,电气设备,xnkj,20180709
3831,603106.SH,603106,恒银科技,天津,IT设备,hykj,20170920
3832,603108.SH,603108,润达医疗,上海,医药商业,rdyl,20150527
3833,603109.SH,603109,神驰机电,重庆,电气设备,scjd,20191231
3834,603110.SH,603110,东方材料,安徽,染料涂料,dfcl,20171013
3835,603111.SH,603111,康尼机电,江苏,运输设备,knjd,20140801
3836,603112.SH,603112,华翔股份,山西,机械基件,hxgf,20200917
3837,603113.SH,603113,金能科技,山东,焦炭加工,jnkj,20170511
3838,603115.SH,603115,海星股份,江苏,铝,hxgf,20190809
3839,603116.SH,603116,红蜻蜓,浙江,服饰,hqt,20150629
3840,603117.SH,603117,ST万林,江苏,仓储物流,stwl,20150629
3841,603118.SH,603118,共进股份,深圳,通信设备,gjgf,20150225
3842,603121.SH,603121,华培动力,上海,汽车配件,hpdl,20190111
3843,603122.SH,603122,合富中国,上海,医药商业,hfzg,20220216
3844,603123.SH,603123,翠微股份,北京,百货,cwgf,20120503
3845,603126.SH,603126,中材节能,天津,环境保护,zcjn,20140731
3846,603127.SH,603127,昭衍新药,北京,医疗保健,zyxy,20170825
3847,603128.SH,603128,华贸物流,上海,仓储物流,hmwl,20120529
3848,603129.SH,603129,春风动力,浙江,摩托车,cfdl,20170818
3849,603130.SH,603130,云中马,浙江,纺织,yzm,20221118
3850,603131.SH,603131,上海沪工,上海,专用机械,shhg,20160607
3851,603132.SH,603132,金徽股份,甘肃,铅锌,jhgf,20220222
3852,603133.SH,603133,碳元科技,江苏,元器件,tykj,20170320
3853,603136.SH,603136,天目湖,江苏,旅游景点,tmh,20170927
3854,603138.SH,603138,海量数据,北京,软件服务,hlsj,20170306
3855,603139.SH,603139,康惠制药,陕西,中成药,khzy,20170421
3856,603150.SH,603150,万朗磁塑,安徽,塑料,wlcs,20220124
