代码,名称,最新价,涨跌幅,换手率,成交额,涨速,市盈率,总市值,流通市值,今年,60日,成交量,最高,最低,今开,昨收
837344,三元基因,15.84,1.21,0.0,63396.31,3.53,198.41,1929470400.0,1798803009.0,-6.93,-11.71,41.0,15.87,15.3,15.36,15.65
000536,华映科技,2.27,5.58,0.86,52454937.76,3.65,-6.14,6278894463.0,6272197311.0,20.74,11.82,238734.0,2.27,2.15,2.17,2.15
603929,亚翔集成,18.88,1.94,3.16,123004039.0,3.4,26.76,4028236800.0,4028236800.0,48.9,36.91,67460.0,18.88,17.92,18.2,18.52
603163,圣晖集成,37.23,3.56,10.37,74013454.0,3.56,24.57,2978400000.0,744600000.0,27.41,13.51,20743.0,37.26,35.01,35.02,35.95
300307,慈星股份,5.62,3.31,1.15,48689055.51,3.12,40.09,4386644781.0,4337319564.0,11.51,13.77,88905.0,5.65,5.39,5.4,5.44
002596,海南瑞泽,3.74,2.75,1.19,45239739.99,3.03,202.73,4291951137.0,3894822042.0,10.0,1.36,124139.0,3.75,3.6,3.64,3.64
600202,哈空调,5.67,5.19,0.78,16572637.0,3.09,45.63,2173541610.0,2173541610.0,12.72,9.04,29916.0,5.67,5.39,5.39,5.39
002889,东方嘉盛,27.4,0.22,4.69,112608755.14,3.24,18.62,3783979155.0,2461321560.0,21.13,9.91,42167.0,27.48,26.3,27.36,27.34
300027,华谊兄弟,2.91,3.19,2.26,145986364.16,3.56,-23.26,8073812224.0,6707054843.0,4.68,6.99,520925.0,2.91,2.75,2.81,2.82
688502,C茂莱,204.87,7.26,12.25,287886439.0,3.47,183.3,10817136000.0,2471025164.0,193.85,193.85,14770.0,204.9,187.34,189.0,191.0
002864,盘龙药业,37.84,10.0,6.64,130103619.77,3.64,31.56,3281243911.0,2048026504.0,-2.45,-21.67,35921.0,37.84,34.58,34.58,34.4
301036,双乐股份,21.53,5.64,6.7,63967759.96,3.01,96.21,2153000000.0,1003405069.0,29.86,18.3,31205.0,21.54,19.85,20.28,20.38
000065,北方国际,13.9,6.68,6.39,757723059.39,3.27,20.94,13923760855.0,12583473009.0,68.48,52.25,578294.0,13.9,12.52,12.6,13.03
603637,镇海股份,8.79,4.27,0.55,11546269.0,3.05,28.16,2141932899.0,2141932899.0,15.2,1.03,13506.0,8.79,8.45,8.52,8.43
300334,津膜科技,7.9,3.0,3.0,69254905.0,3.54,-43.14,2386316312.0,2386035112.0,26.2,19.34,90646.0,7.9,7.51,7.71,7.67
600113,浙江东日,7.82,3.58,0.69,21786071.0,3.03,20.08,3217391671.0,3217391671.0,-10.63,10.45,28521.0,7.85,7.55,7.59,7.55
600697,欧亚集团,13.8,5.67,0.29,6011501.0,4.39,-28.94,2195415435.0,2141153007.0,-1.29,-1.92,4530.0,13.8,13.18,13.2,13.06
300153,科泰电源,8.0,6.24,0.63,15445990.0,3.36,111.96,2560000000.0,2544084320.0,18.69,12.52,19893.0,8.02,7.55,7.59,7.53
603569,长久物流,10.18,5.93,0.47,25615394.0,3.35,1413.13,5704350489.0,5704350489.0,15.81,0.39,26157.0,10.19,9.56,9.68,9.61
300052,中青宝,21.59,3.4,2.88,158701024.9,3.05,601.3,5653529549.0,5639616262.0,7.68,10.95,75352.0,21.6,20.68,21.14,20.88
002740,ST爱迪尔,4.46,4.69,4.07,79420578.0,3.0,-8.24,2025112403.0,2023889471.0,46.23,31.56,184679.0,4.46,4.21,4.31,4.26
002533,金杯电工,7.46,10.03,5.33,227183096.59,3.32,15.54,5475200323.0,4491190947.0,23.31,16.93,320883.0,7.46,6.72,6.72,6.78
002771,真视通,17.24,9.81,26.89,779765783.59,3.17,-598.16,3616333084.0,2921940881.0,34.69,59.63,455684.0,17.27,16.42,17.27,15.7
603578,三星新材,14.69,10.04,1.15,29017785.0,3.31,21.31,2649444800.0,2649444800.0,18.09,12.91,20687.0,14.69,13.37,13.42,13.35
002527,新时达,7.24,6.31,1.5,55026236.17,3.87,-83.02,4800013507.0,3795826173.0,18.69,16.96,78698.0,7.25,6.91,7.0,6.81
002537,海联金汇,8.06,3.87,0.84,77359669.2,3.07,69.29,9462574965.0,9461880999.0,5.08,-0.86,98605.0,8.09,7.76,7.77,7.76
601179,中国西电,5.3,8.16,0.84,219534221.0,3.11,43.43,27167176466.0,27167176466.0,14.97,10.65,432193.0,5.31,4.93,4.93,4.9
600540,新赛股份,4.74,4.18,0.66,17679998.0,3.27,-17.86,2755726790.0,2755726790.0,3.95,-1.25,38346.0,4.74,4.56,4.58,4.55
002795,永和智控,12.58,6.97,4.09,124284183.0,3.11,81.53,4005894311.0,3162719811.0,41.03,29.96,102841.0,12.58,11.63,11.75,11.76
301137,哈焊华通,17.23,2.99,19.01,141507874.08,3.05,173.81,3132644882.0,783162082.0,29.45,16.97,86399.0,17.26,16.06,16.2,16.73
301058,中粮科工,17.16,3.5,2.27,75939841.96,3.25,68.76,8790626044.0,3490577376.0,14.78,-3.27,46136.0,17.16,16.2,16.34,16.58
002205,国统股份,12.33,7.03,3.96,86525344.0,3.27,-29.69,2291447001.0,2291447001.0,11.99,3.18,73528.0,12.33,11.43,11.52,11.52
603048,浙江黎明,18.1,3.55,3.65,24047544.0,3.31,99.25,2658528000.0,682732000.0,21.23,13.05,13777.0,18.1,17.15,17.38,17.48
300665,飞鹿股份,8.85,4.49,2.82,32509457.56,3.39,-43.61,1687906382.0,1189216900.0,20.9,9.94,37942.0,8.85,8.38,8.43,8.47
688418,震有科技,18.28,0.27,6.59,154536365.0,3.34,-16.67,3539190800.0,2424065795.0,57.18,40.62,87449.0,18.28,17.04,17.65,18.23
603727,博迈科,12.84,7.09,1.15,39988998.0,3.72,41.82,3617275517.0,3617275517.0,12.04,4.9,32417.0,12.85,11.97,12.0,11.99
002879,长缆科技,15.68,10.04,2.11,42837524.0,4.19,92.42,3027927795.0,2124956454.0,13.71,9.73,28545.0,15.68,14.3,14.35,14.25
300931,通用电梯,8.35,0.85,8.65,73379005.17,3.21,535.1,2005219100.0,872099050.0,26.71,18.1,90395.0,8.37,8.02,8.28,8.28
301158,德石股份,18.7,8.66,8.13,112462583.99,3.09,48.02,2811928537.0,1452558161.0,17.98,9.48,63189.0,18.72,17.03,17.03,17.21
001278,一彬科技,26.86,-2.4,26.3,210554957.74,3.15,29.57,3323479124.0,830871124.0,58.0,58.0,81368.0,26.88,25.43,26.05,27.52
002235,安妮股份,9.0,1.58,6.7,321199725.33,3.09,-426.28,5216150556.0,4934132559.0,21.46,71.43,367222.0,9.0,8.66,8.77,8.86
